"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HR","AR","HY","AY","Season","HomeTeamAbbreviation","AwayTeamAbbreviation","HomeTeamValue","HomeTeamSquadSize","AwayTeamValue","AwayTeamSquadSize","HomeTeamForeignPlayers","HomeTeamMeanAge","AwayTeamForeignPlayers","AwayTeamMeanAge","HGD","AGD"
1994-09-10,"Man City","Crystal Palace",1,1,"D",NA,NA,NA,NA,"1994-1995","MCI","CRY",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-10,"Newcastle","Chelsea",4,2,"H",NA,NA,NA,NA,"1994-1995","NEW","CHE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-09-10,"Norwich","Arsenal",0,0,"D",NA,NA,NA,NA,"1994-1995","NOR","ARS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-10,"Nott'm Forest","Sheffield Weds",4,1,"H",NA,NA,NA,NA,"1994-1995","FOR","SHW",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-09-10,"QPR","Coventry",2,2,"D",NA,NA,NA,NA,"1994-1995","QPR","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-10,"Wimbledon","Leicester",2,1,"H",NA,NA,NA,NA,"1994-1995","WIM","LEI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-09-11,"Leeds","Man United",2,1,"H",NA,NA,NA,NA,"1994-1995","LEE","MUN",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-09-12,"Tottenham","Southampton",1,2,"A",NA,NA,NA,NA,"1994-1995","TOT","SOU",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-09-17,"Coventry","Leeds",2,1,"H",NA,NA,NA,NA,"1994-1995","COV","LEE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-09-17,"Crystal Palace","Wimbledon",0,0,"D",NA,NA,NA,NA,"1994-1995","CRY","WIM",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-17,"Everton","QPR",2,2,"D",NA,NA,NA,NA,"1994-1995","EVE","QPR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-17,"Leicester","Tottenham",3,1,"H",NA,NA,NA,NA,"1994-1995","LEI","TOT",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-09-17,"Man United","Liverpool",2,0,"H",NA,NA,NA,NA,"1994-1995","MUN","LIV",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-09-17,"Sheffield Weds","Man City",1,1,"D",NA,NA,NA,NA,"1994-1995","SHW","MCI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-17,"Southampton","Nott'm Forest",1,1,"D",NA,NA,NA,NA,"1994-1995","SOU","FOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-17,"West Ham","Aston Villa",1,0,"H",NA,NA,NA,NA,"1994-1995","WHU","AVA",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-09-18,"Arsenal","Newcastle",2,3,"A",NA,NA,NA,NA,"1994-1995","ARS","NEW",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-09-18,"Chelsea","Blackburn",1,2,"A",NA,NA,NA,NA,"1994-1995","CHE","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-09-19,"Ipswich","Norwich",1,2,"A",NA,NA,NA,NA,"1994-1995","IPS","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-09-24,"Blackburn","Aston Villa",3,1,"H",NA,NA,NA,NA,"1994-1995","BLB","AVA",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-09-24,"Coventry","Southampton",1,3,"A",NA,NA,NA,NA,"1994-1995","COV","SOU",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-09-24,"Crystal Palace","Chelsea",0,1,"A",NA,NA,NA,NA,"1994-1995","CRY","CHE",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-09-24,"Everton","Leicester",1,1,"D",NA,NA,NA,NA,"1994-1995","EVE","LEI",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-24,"Ipswich","Man United",3,2,"H",NA,NA,NA,NA,"1994-1995","IPS","MUN",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-09-24,"Man City","Norwich",2,0,"H",NA,NA,NA,NA,"1994-1995","MCI","NOR",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-09-24,"Newcastle","Liverpool",1,1,"D",NA,NA,NA,NA,"1994-1995","NEW","LIV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-09-24,"QPR","Wimbledon",0,1,"A",NA,NA,NA,NA,"1994-1995","QPR","WIM",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-09-24,"Tottenham","Nott'm Forest",1,4,"A",NA,NA,NA,NA,"1994-1995","TOT","FOR",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1994-09-25,"West Ham","Arsenal",0,2,"A",NA,NA,NA,NA,"1994-1995","WHU","ARS",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-09-26,"Sheffield Weds","Leeds",1,1,"D",NA,NA,NA,NA,"1994-1995","SHW","LEE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-01,"Arsenal","Crystal Palace",1,2,"A",NA,NA,NA,NA,"1994-1995","ARS","CRY",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-01,"Aston Villa","Newcastle",0,2,"A",NA,NA,NA,NA,"1994-1995","AVA","NEW",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-01,"Leeds","Man City",2,0,"H",NA,NA,NA,NA,"1994-1995","LEE","MCI",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-01,"Liverpool","Sheffield Weds",4,1,"H",NA,NA,NA,NA,"1994-1995","LIV","SHW",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-10-01,"Man United","Everton",2,0,"H",NA,NA,NA,NA,"1994-1995","MUN","EVE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-01,"Norwich","Blackburn",2,1,"H",NA,NA,NA,NA,"1994-1995","NOR","BLB",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-01,"Southampton","Ipswich",3,1,"H",NA,NA,NA,NA,"1994-1995","SOU","IPS",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-01,"Wimbledon","Tottenham",1,2,"A",NA,NA,NA,NA,"1994-1995","WIM","TOT",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-02,"Chelsea","West Ham",1,2,"A",NA,NA,NA,NA,"1994-1995","CHE","WHU",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-02,"Nott'm Forest","QPR",3,2,"H",NA,NA,NA,NA,"1994-1995","FOR","QPR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-03,"Leicester","Coventry",2,2,"D",NA,NA,NA,NA,"1994-1995","LEI","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-08,"Chelsea","Leicester",4,0,"H",NA,NA,NA,NA,"1994-1995","CHE","LEI",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1994-10-08,"Liverpool","Aston Villa",3,2,"H",NA,NA,NA,NA,"1994-1995","LIV","AVA",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-08,"Man City","Nott'm Forest",3,3,"D",NA,NA,NA,NA,"1994-1995","MCI","FOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-08,"Norwich","Leeds",2,1,"H",NA,NA,NA,NA,"1994-1995","NOR","LEE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-08,"Sheffield Weds","Man United",1,0,"H",NA,NA,NA,NA,"1994-1995","SHW","MUN",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-08,"Southampton","Everton",2,0,"H",NA,NA,NA,NA,"1994-1995","SOU","EVE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-08,"Tottenham","QPR",1,1,"D",NA,NA,NA,NA,"1994-1995","TOT","QPR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-08,"West Ham","Crystal Palace",1,0,"H",NA,NA,NA,NA,"1994-1995","WHU","CRY",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-08,"Wimbledon","Arsenal",1,3,"A",NA,NA,NA,NA,"1994-1995","WIM","ARS",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-09,"Newcastle","Blackburn",1,1,"D",NA,NA,NA,NA,"1994-1995","NEW","BLB",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-10,"Coventry","Ipswich",2,0,"H",NA,NA,NA,NA,"1994-1995","COV","IPS",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-15,"Arsenal","Chelsea",3,1,"H",NA,NA,NA,NA,"1994-1995","ARS","CHE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-15,"Aston Villa","Norwich",1,1,"D",NA,NA,NA,NA,"1994-1995","AVA","NOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-15,"Blackburn","Liverpool",3,2,"H",NA,NA,NA,NA,"1994-1995","BLB","LIV",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-15,"Crystal Palace","Newcastle",0,1,"A",NA,NA,NA,NA,"1994-1995","CRY","NEW",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-15,"Everton","Coventry",0,2,"A",NA,NA,NA,NA,"1994-1995","EVE","COV",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-15,"Leeds","Tottenham",1,1,"D",NA,NA,NA,NA,"1994-1995","LEE","TOT",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-15,"Leicester","Southampton",4,3,"H",NA,NA,NA,NA,"1994-1995","LEI","SOU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-15,"Man United","West Ham",1,0,"H",NA,NA,NA,NA,"1994-1995","MUN","WHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-15,"QPR","Man City",1,2,"A",NA,NA,NA,NA,"1994-1995","QPR","MCI",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-16,"Ipswich","Sheffield Weds",1,2,"A",NA,NA,NA,NA,"1994-1995","IPS","SHW",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-17,"Nott'm Forest","Wimbledon",3,1,"H",NA,NA,NA,NA,"1994-1995","FOR","WIM",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-22,"Aston Villa","Nott'm Forest",0,2,"A",NA,NA,NA,NA,"1994-1995","AVA","FOR",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-22,"Crystal Palace","Everton",1,0,"H",NA,NA,NA,NA,"1994-1995","CRY","EVE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-22,"Liverpool","Wimbledon",3,0,"H",NA,NA,NA,NA,"1994-1995","LIV","WIM",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-10-22,"Man City","Tottenham",5,2,"H",NA,NA,NA,NA,"1994-1995","MCI","TOT",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-10-22,"Newcastle","Sheffield Weds",2,1,"H",NA,NA,NA,NA,"1994-1995","NEW","SHW",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-22,"Norwich","QPR",4,2,"H",NA,NA,NA,NA,"1994-1995","NOR","QPR",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-22,"West Ham","Southampton",2,0,"H",NA,NA,NA,NA,"1994-1995","WHU","SOU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-23,"Arsenal","Coventry",2,1,"H",NA,NA,NA,NA,"1994-1995","ARS","COV",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-23,"Blackburn","Man United",2,4,"A",NA,NA,NA,NA,"1994-1995","BLB","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-23,"Chelsea","Ipswich",2,0,"H",NA,NA,NA,NA,"1994-1995","CHE","IPS",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-24,"Leeds","Leicester",2,1,"H",NA,NA,NA,NA,"1994-1995","LEE","LEI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-29,"Coventry","Man City",1,0,"H",NA,NA,NA,NA,"1994-1995","COV","MCI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-29,"Everton","Arsenal",1,1,"D",NA,NA,NA,NA,"1994-1995","EVE","ARS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-29,"Ipswich","Liverpool",1,3,"A",NA,NA,NA,NA,"1994-1995","IPS","LIV",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-29,"Leicester","Crystal Palace",0,1,"A",NA,NA,NA,NA,"1994-1995","LEI","CRY",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-10-29,"Man United","Newcastle",2,0,"H",NA,NA,NA,NA,"1994-1995","MUN","NEW",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-29,"Nott'm Forest","Blackburn",0,2,"A",NA,NA,NA,NA,"1994-1995","FOR","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-29,"QPR","Aston Villa",2,0,"H",NA,NA,NA,NA,"1994-1995","QPR","AVA",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-29,"Sheffield Weds","Chelsea",1,1,"D",NA,NA,NA,NA,"1994-1995","SHW","CHE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-10-29,"Southampton","Leeds",1,3,"A",NA,NA,NA,NA,"1994-1995","SOU","LEE",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-10-29,"Tottenham","West Ham",3,1,"H",NA,NA,NA,NA,"1994-1995","TOT","WHU",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-10-30,"Wimbledon","Norwich",1,0,"H",NA,NA,NA,NA,"1994-1995","WIM","NOR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-10-31,"QPR","Liverpool",2,1,"H",NA,NA,NA,NA,"1994-1995","QPR","LIV",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-01,"Everton","West Ham",1,0,"H",NA,NA,NA,NA,"1994-1995","EVE","WHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-01,"Ipswich","Leeds",2,0,"H",NA,NA,NA,NA,"1994-1995","IPS","LEE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-11-02,"Coventry","Crystal Palace",1,4,"A",NA,NA,NA,NA,"1994-1995","COV","CRY",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1994-11-02,"Sheffield Weds","Blackburn",0,1,"A",NA,NA,NA,NA,"1994-1995","SHW","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-02,"Southampton","Norwich",1,1,"D",NA,NA,NA,NA,"1994-1995","SOU","NOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-05,"Blackburn","Tottenham",2,0,"H",NA,NA,NA,NA,"1994-1995","BLB","TOT",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-11-05,"Crystal Palace","Ipswich",3,0,"H",NA,NA,NA,NA,"1994-1995","CRY","IPS",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-11-05,"Leeds","Wimbledon",3,1,"H",NA,NA,NA,NA,"1994-1995","LEE","WIM",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-11-05,"Liverpool","Nott'm Forest",1,0,"H",NA,NA,NA,NA,"1994-1995","LIV","FOR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-05,"Man City","Southampton",3,3,"D",NA,NA,NA,NA,"1994-1995","MCI","SOU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-05,"Newcastle","QPR",2,1,"H",NA,NA,NA,NA,"1994-1995","NEW","QPR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-05,"Norwich","Everton",0,0,"D",NA,NA,NA,NA,"1994-1995","NOR","EVE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-05,"West Ham","Leicester",1,0,"H",NA,NA,NA,NA,"1994-1995","WHU","LEI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-06,"Arsenal","Sheffield Weds",0,0,"D",NA,NA,NA,NA,"1994-1995","ARS","SHW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-06,"Aston Villa","Man United",1,2,"A",NA,NA,NA,NA,"1994-1995","AVA","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-06,"Chelsea","Coventry",2,2,"D",NA,NA,NA,NA,"1994-1995","CHE","COV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-07,"Nott'm Forest","Newcastle",0,0,"D",NA,NA,NA,NA,"1994-1995","FOR","NEW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-09,"Liverpool","Chelsea",3,1,"H",NA,NA,NA,NA,"1994-1995","LIV","CHE",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-11-09,"Wimbledon","Aston Villa",4,3,"H",NA,NA,NA,NA,"1994-1995","WIM","AVA",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-10,"Man United","Man City",5,0,"H",NA,NA,NA,NA,"1994-1995","MUN","MCI",NA,NA,NA,NA,NA,NA,NA,NA,5,-5
1994-11-19,"Coventry","Norwich",1,0,"H",NA,NA,NA,NA,"1994-1995","COV","NOR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-19,"Ipswich","Blackburn",1,3,"A",NA,NA,NA,NA,"1994-1995","IPS","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-11-19,"Man United","Crystal Palace",3,0,"H",NA,NA,NA,NA,"1994-1995","MUN","CRY",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-11-19,"Nott'm Forest","Chelsea",0,1,"A",NA,NA,NA,NA,"1994-1995","FOR","CHE",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-19,"QPR","Leeds",3,2,"H",NA,NA,NA,NA,"1994-1995","QPR","LEE",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-19,"Sheffield Weds","West Ham",1,0,"H",NA,NA,NA,NA,"1994-1995","SHW","WHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-19,"Southampton","Arsenal",1,0,"H",NA,NA,NA,NA,"1994-1995","SOU","ARS",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-19,"Tottenham","Aston Villa",3,4,"A",NA,NA,NA,NA,"1994-1995","TOT","AVA",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-19,"Wimbledon","Newcastle",3,2,"H",NA,NA,NA,NA,"1994-1995","WIM","NEW",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-20,"Leicester","Man City",0,1,"A",NA,NA,NA,NA,"1994-1995","LEI","MCI",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-21,"Everton","Liverpool",2,0,"H",NA,NA,NA,NA,"1994-1995","EVE","LIV",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-11-23,"Leicester","Arsenal",2,1,"H",NA,NA,NA,NA,"1994-1995","LEI","ARS",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-23,"Tottenham","Chelsea",0,0,"D",NA,NA,NA,NA,"1994-1995","TOT","CHE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-26,"Arsenal","Man United",0,0,"D",NA,NA,NA,NA,"1994-1995","ARS","MUN",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-26,"Blackburn","QPR",4,0,"H",NA,NA,NA,NA,"1994-1995","BLB","QPR",NA,NA,NA,NA,NA,NA,NA,NA,4,-4
1994-11-26,"Chelsea","Everton",0,1,"A",NA,NA,NA,NA,"1994-1995","CHE","EVE",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-26,"Crystal Palace","Southampton",0,0,"D",NA,NA,NA,NA,"1994-1995","CRY","SOU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-26,"Leeds","Nott'm Forest",1,0,"H",NA,NA,NA,NA,"1994-1995","LEE","FOR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-26,"Liverpool","Tottenham",1,1,"D",NA,NA,NA,NA,"1994-1995","LIV","TOT",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-26,"Man City","Wimbledon",2,0,"H",NA,NA,NA,NA,"1994-1995","MCI","WIM",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-11-26,"Newcastle","Ipswich",1,1,"D",NA,NA,NA,NA,"1994-1995","NEW","IPS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-11-26,"Norwich","Leicester",2,1,"H",NA,NA,NA,NA,"1994-1995","NOR","LEI",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-11-26,"West Ham","Coventry",0,1,"A",NA,NA,NA,NA,"1994-1995","WHU","COV",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-11-27,"Aston Villa","Sheffield Weds",1,1,"D",NA,NA,NA,NA,"1994-1995","AVA","SHW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-03,"Coventry","Liverpool",1,1,"D",NA,NA,NA,NA,"1994-1995","COV","LIV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-03,"Ipswich","Man City",1,2,"A",NA,NA,NA,NA,"1994-1995","IPS","MCI",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-03,"Leicester","Aston Villa",1,1,"D",NA,NA,NA,NA,"1994-1995","LEI","AVA",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-03,"Man United","Norwich",1,0,"H",NA,NA,NA,NA,"1994-1995","MUN","NOR",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-12-03,"Nott'm Forest","Arsenal",2,2,"D",NA,NA,NA,NA,"1994-1995","FOR","ARS",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-03,"Sheffield Weds","Crystal Palace",1,0,"H",NA,NA,NA,NA,"1994-1995","SHW","CRY",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-12-03,"Southampton","Chelsea",0,1,"A",NA,NA,NA,NA,"1994-1995","SOU","CHE",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-03,"Tottenham","Newcastle",4,2,"H",NA,NA,NA,NA,"1994-1995","TOT","NEW",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-12-03,"Wimbledon","Blackburn",0,3,"A",NA,NA,NA,NA,"1994-1995","WIM","BLB",NA,NA,NA,NA,NA,NA,NA,NA,-3,3
1994-12-04,"Everton","Leeds",3,0,"H",NA,NA,NA,NA,"1994-1995","EVE","LEE",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-12-04,"QPR","West Ham",2,1,"H",NA,NA,NA,NA,"1994-1995","QPR","WHU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-12-10,"Aston Villa","Everton",0,0,"D",NA,NA,NA,NA,"1994-1995","AVA","EVE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-10,"Blackburn","Southampton",3,2,"H",NA,NA,NA,NA,"1994-1995","BLB","SOU",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-12-10,"Leeds","West Ham",2,2,"D",NA,NA,NA,NA,"1994-1995","LEE","WHU",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-10,"Newcastle","Leicester",3,1,"H",NA,NA,NA,NA,"1994-1995","NEW","LEI",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-12-10,"Norwich","Chelsea",3,0,"H",NA,NA,NA,NA,"1994-1995","NOR","CHE",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-12-10,"Nott'm Forest","Ipswich",4,1,"H",NA,NA,NA,NA,"1994-1995","FOR","IPS",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-12-10,"QPR","Man United",2,3,"A",NA,NA,NA,NA,"1994-1995","QPR","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-10,"Tottenham","Sheffield Weds",3,1,"H",NA,NA,NA,NA,"1994-1995","TOT","SHW",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-12-10,"Wimbledon","Coventry",2,0,"H",NA,NA,NA,NA,"1994-1995","WIM","COV",NA,NA,NA,NA,NA,NA,NA,NA,2,-2
1994-12-11,"Liverpool","Crystal Palace",0,0,"D",NA,NA,NA,NA,"1994-1995","LIV","CRY",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-12,"Man City","Arsenal",1,2,"A",NA,NA,NA,NA,"1994-1995","MCI","ARS",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-16,"Ipswich","Wimbledon",2,2,"D",NA,NA,NA,NA,"1994-1995","IPS","WIM",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-17,"Arsenal","Leeds",1,3,"A",NA,NA,NA,NA,"1994-1995","ARS","LEE",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-12-17,"Coventry","Newcastle",0,0,"D",NA,NA,NA,NA,"1994-1995","COV","NEW",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-17,"Crystal Palace","Norwich",0,1,"A",NA,NA,NA,NA,"1994-1995","CRY","NOR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-17,"Everton","Tottenham",0,0,"D",NA,NA,NA,NA,"1994-1995","EVE","TOT",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-17,"Leicester","Blackburn",0,0,"D",NA,NA,NA,NA,"1994-1995","LEI","BLB",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-17,"Man United","Nott'm Forest",1,2,"A",NA,NA,NA,NA,"1994-1995","MUN","FOR",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-17,"Sheffield Weds","QPR",0,2,"A",NA,NA,NA,NA,"1994-1995","SHW","QPR",NA,NA,NA,NA,NA,NA,NA,NA,-2,2
1994-12-17,"West Ham","Man City",3,0,"H",NA,NA,NA,NA,"1994-1995","WHU","MCI",NA,NA,NA,NA,NA,NA,NA,NA,3,-3
1994-12-18,"Chelsea","Liverpool",0,0,"D",NA,NA,NA,NA,"1994-1995","CHE","LIV",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-19,"Southampton","Aston Villa",2,1,"H",NA,NA,NA,NA,"1994-1995","SOU","AVA",NA,NA,NA,NA,NA,NA,NA,NA,1,-1
1994-12-26,"Arsenal","Aston Villa",0,0,"D",NA,NA,NA,NA,"1994-1995","ARS","AVA",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-26,"Chelsea","Man United",2,3,"A",NA,NA,NA,NA,"1994-1995","CHE","MUN",NA,NA,NA,NA,NA,NA,NA,NA,-1,1
1994-12-26,"Coventry","Nott'm Forest",0,0,"D",NA,NA,NA,NA,"1994-1995","COV","FOR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
1994-12-26,"Crystal Palace","QPR",0,0,"D",NA,NA,NA,NA,"1994-1995","CRY","QPR",NA,NA,NA,NA,NA,NA,NA,NA,0,0
